Indicator,Average,Ones,Zeros,NAs
accoci_mrq,-338582833.6024588,0,6685,769
accoci_mrt,-338594476.73939097,0,6683,775
assets_mrq,41059075376.896095,0,2,771
assets_mrt,41046749597.78874,0,2,777
bvps_mrq,21.72814593685949,0,11,872
bvps_mrt,21.759945527759754,0,10,893
capex_mrq,-185027477.97425145,0,1994,258
capex_mrt,-734113158.4137458,0,1856,1017
cashneq_mrq,2950401184.4369698,0,246,769
cashneq_mrt,2949349102.408325,0,246,775
cashnequsd_mrq,2950401184.4369698,0,246,769
cashnequsd_mrt,2949349102.408325,0,246,775
consolinc_mrq,250453469.02820334,0,26,151
consolinc_mrt,984153606.2192726,0,3,883
cor_mrq,2018938102.3069055,0,6347,150
cor_mrt,7970346702.397626,0,6192,879
de_mrq,1.5750447730419168,29,3,791
de_mrt,1.5747675572968847,29,3,797
debt_mrq,13547627101.88298,0,3916,769
debt_mrt,13541438528.873163,0,3916,775
debtusd_mrq,13547627101.88298,0,3916,769
debtusd_mrt,13541438528.873163,0,3916,775
deferredrev_mrq,365841735.85451573,0,47121,771
deferredrev_mrt,365871198.2531364,0,47116,777
depamor_mrq,171357427.7854147,0,3142,264
depamor_mrt,674107938.8121158,0,1369,1025
deposits_mrq,8121461425.704585,0,59469,771
deposits_mrt,8121719186.123277,0,59465,777
divyield_mrq,0.018744657850701184,0,22000,1160
divyield_mrt,0.018744398868667727,0,22001,1158
dps_mrq,0.22481925781420606,110,25358,0
dps_mrt,0.8820861478859905,693,22942,28
ebit_mrq,400765576.2128892,0,13,151
ebit_mrt,1581471726.823393,0,3,883
ebitda_mrq,572480852.3027318,0,7,272
ebitda_mrt,2257038451.106933,0,1,1058
ebitdamargin_mrq,-0.18327939585343758,4,31,295
ebitdamargin_mrt,0.05680410221525537,4,42,1067
ebitdausd_mrq,572480852.3027318,0,7,272
ebitdausd_mrt,2257038451.106933,0,1,1058
ebitusd_mrq,400765576.2128892,0,13,151
ebitusd_mrt,1581471726.823393,0,3,883
ebt_mrq,345037450.68932563,0,22,151
ebt_mrt,1361646561.8379643,0,4,883
eps_mrq,-0.48068093841642223,227,266,489
eps_mrt,-6.24409825534819,126,67,1283
epsdil_mrq,-0.6014218878570584,225,278,633
epsdil_mrt,-6.73146910714286,137,70,1489
epsusd_mrq,-0.48068093841642223,227,266,489
epsusd_mrt,-6.24409825534819,126,67,1283
equity_mrq,7648783953.967869,0,10,779
equity_mrt,7648884849.875677,0,10,785
equityusd_mrq,7648783953.967869,0,10,779
equityusd_mrt,7648884849.875677,0,10,785
ev_mrq,32435823538.876022,0,0,1402
ev_mrt,32435822390.76985,0,0,1402
evebit_mrq,16.926212028572706,66,107,1632
evebit_mrt,16.926318614951015,66,107,1630
fcf_mrq,283094612.2865516,0,18,272
fcf_mrt,1116418700.7691376,0,11,1034
fcfps_mrq,0.47890298605919346,25,64,472
fcfps_mrt,1.772726952558525,11,35,1111
fxusd_mrq,1.0,68689,0,0
fxusd_mrt,1.0,68689,0,0
gp_mrq,1261569317.7410378,0,20,150
gp_mrt,4978117545.771523,0,8,879
grossmargin_mrq,0.4715673103589204,6332,6,178
grossmargin_mrt,0.47454185041518554,6188,5,888
intangibles_mrq,4146595145.943448,0,13242,769
intangibles_mrt,4146726511.1682277,0,13242,775
intexp_mrq,55727677.19304337,0,11704,150
intexp_mrt,219816893.0394042,0,10266,879
invcap_mrq,44409163084.157486,0,4,771
invcap_mrt,44391358800.97491,0,4,777
inventory_mrq,1010630031.6860083,0,19982,770
inventory_mrt,1010697996.4967238,0,19979,776
investments_mrq,20422550394.39631,0,21760,770
investments_mrt,20411973067.70431,0,21758,776
liabilities_mrq,33224940525.999012,0,5,781
liabilities_mrt,33212497038.003902,0,5,787
marketcap_mrq,21861861532.416725,0,0,1309
marketcap_mrt,21861861029.958725,0,0,1309
ncf_mrq,48946849.19684544,0,309,280
ncf_mrt,178799104.4195127,0,167,1051
ncfbus_mrq,-62917937.13559644,1,31039,258
ncfbus_mrt,-249374866.49852228,1,17096,1017
ncfcommon_mrq,-101261810.2961009,0,8939,263
ncfcommon_mrt,-400097842.1903108,0,4170,1026
ncfdebt_mrq,-2187504.3333820477,0,8709,263
ncfdebt_mrt,-12482081.806097867,0,4657,1026
ncfdiv_mrq,-101984494.64481337,0,23811,263
ncfdiv_mrt,-401127358.82837003,0,21072,1026
ncff_mrq,-70059067.32882237,0,185,263
ncff_mrt,-301124359.85312504,0,29,1026
ncfi_mrq,-344374256.52672035,0,39,258
ncfi_mrt,-1352049168.6100602,0,3,1017
ncfinv_mrq,-88115657.82434861,0,25526,258
ncfinv_mrt,-338935198.1686665,0,20277,1017
ncfo_mrq,468144303.56585354,0,19,272
ncfo_mrt,1850593473.9592047,0,1,1034
ncfx_mrq,-1187041.7833272396,1,30257,314
ncfx_mrt,-4953618.934392756,0,28441,1105
netinc_mrq,245892598.9972716,0,25,151
netinc_mrt,966278365.0305873,0,6,883
netinccmn_mrq,241400290.88739094,0,22,151
netinccmn_mrt,948391207.411232,0,5,883
netinccmnusd_mrq,241400290.88739094,0,22,151
netinccmnusd_mrt,948391207.411232,0,5,883
netincdis_mrq,-4269549.4378884705,0,53657,151
netincdis_mrt,-17548197.775875293,0,47834,883
netincnci_mrq,4571699.147626135,0,51320,151
netincnci_mrt,17917261.88006961,0,49276,883
netmargin_mrq,-0.36831699022040576,1,122,179
netmargin_mrt,-0.10582522825493752,1,111,892
opex_mrq,865553521.8761289,0,497,150
opex_mrt,3415365105.349683,0,449,879
opinc_mrq,396015795.86490905,0,14,150
opinc_mrt,1562752440.4218404,0,2,879
payables_mrq,2377144789.8880005,0,4199,769
payables_mrt,2374151576.1432548,0,4199,775
payoutratio_mrq,0.2884400594694851,178,24739,755
payoutratio_mrt,0.28493795571659813,45,21918,1350
pb_mrq,-18.568867026576843,6,0,1450
pb_mrt,-18.570329966981,6,0,1455
pe_mrq,19.35798340706317,0,0,1552
pe_mrt,19.358863641102786,0,0,1550
pe1_mrq,18.779427708230507,0,1,1828
pe1_mrt,18.780758551067105,0,1,1826
ppnenet_mrq,5391199769.821584,0,1950,769
ppnenet_mrt,5391436455.6833935,0,1950,775
prefdivis_mrq,7761812.969374654,0,61375,151
prefdivis_mrt,30392191.21592166,0,59809,882
price_mrq,61.585047717750186,5,0,1146
price_mrt,61.58504919828851,5,0,1146
ps_mrq,6.566135137550455,22,1,1550
ps_mrt,6.565968633174961,22,1,1548
ps1_mrq,6.412873576394575,24,1,1518
ps1_mrt,6.412732660443928,24,1,1516
receivables_mrq,2550581022.9286513,0,4565,769
receivables_mrt,2549293284.7029185,0,4565,775
retearn_mrq,5179389860.077404,0,201,3460
retearn_mrt,5179267992.057848,0,201,3466
revenue_mrq,3280507420.0479436,0,28,150
revenue_mrt,12948464248.16915,0,9,879
revenueusd_mrq,3280507420.0479436,0,28,150
revenueusd_mrt,12948464248.16915,0,9,879
rnd_mrq,63857308.55461204,0,47265,151
rnd_mrt,249177878.10773382,0,46551,883
sbcomp_mrq,18599795.089714546,0,26166,272
sbcomp_mrt,71652296.89975612,0,22698,1034
sgna_mrq,593024623.1729964,0,4146,150
sgna_mrt,2340818991.704321,0,4053,879
sharefactor_mrq,1.0050155337827018,68572,0,0
sharefactor_mrt,1.0050155337827018,68572,0,0
sharesbas_mrq,498227768.39429116,0,0,724
sharesbas_mrt,498233409.50737154,0,0,725
shareswa_mrq,502308925.38408244,0,0,274
shareswa_mrt,502350709.54261696,0,0,289
sps_mrq,11.658234184905934,11,29,384
sps_mrt,45.28166973316991,2,9,968
tangibles_mrq,36912368701.88389,0,2,771
tangibles_mrt,36899911543.82951,0,2,777
taxassets_mrq,286716811.84177977,0,30968,771
taxassets_mrt,286741462.0048003,0,30965,777
taxexp_mrq,99144851.69205405,0,2318,151
taxexp_mrt,395361056.5387202,0,1911,882
taxliabilities_mrq,1027859304.6734444,0,20322,771
taxliabilities_mrt,1027948815.5379167,0,20319,777
tbvps_mrq,85.62465899976411,0,3,865
tbvps_mrt,85.69540191436958,0,2,886
price_t,62.70261623942975,5,0,928
